IDRSSD,Institution Name 
2451,THUNDER BANK
3953,FIRST CAPITAL BANK
15536,PARK NATIONAL BANK
16337,WAKULLA BANK
20370,FIRST HERITAGE BANK
20866,HOME VALLEY BANK
23241,INTEGRA BANK NATIONAL ASSOCIATION
28572,COLUMBIA SAVINGS BANK
30155,SHERMAN COUNTY BANK
30258,THE RIVERBANK
38535,FIRST UNITED BANK
41647,FIRST BANKING CENTER
43173,UNITED COMMERCIAL BANK
54357,THE FIRST STATE BANK
61533,PENINSULA BANK
63359,"MID CITY BANK, INC."
66837,CENTRAL BANK OF GEORGIA
73031,"SECURITY BANK, NATIONAL ASSOCIATION"
76135,HIGHLAND COMMUNITY BANK
84345,CITIZENS STATE BANK
85043,FIRST NATIONAL BANK
89452,HORIZON BANK
91969,SAN JOAQUIN BANK
92630,FLORIDA COMMUNITY BANK
101233,RIVERSIDE NATIONAL BANK OF FLORIDA
104038,THE PARK AVENUE BANK
104430,JASPER BANKING COMPANY
104663,INNOVATIVE BANK
106546,POLK COUNTY BANK
117841,EVERGREEN STATE BANK
123178,BANK OF WHITMAN
124773,SUMMIT BANK
127260,SAN DIEGO NATIONAL BANK
128164,SECURITY PACIFIC BANK
129394,RAINIER PACIFIC BANK
130943,IRWIN UNION BANK AND TRUST COMPANY
139432,HERITAGE BANK OF NORTH FLORIDA
141734,SHOREBANK
143653,STATE BANK OF AURORA
147174,STERLING BANK
147839,FIRST NATIONAL BANK OF GEORGIA
150071,FRONTIER BANK
151331,THE FIRST STATE BANK
152048,THE FIRST STATE BANK OF WINCHESTER
152235,BARTOW COUNTY BANK
156877,BUTLER BANK
159243,MERIDIAN BANK
164032,THE FARMERS BANK OF LYNCHBURG
169073,NOVA BANK
172747,FIRST SUBURBAN NATIONAL BANK
174648,THE FIRST NATIONAL BANK OF BLANCHARDVILLE
181851,"TEAMBANK, N.A."
182157,GATEWAY BANK OF ST LOUIS
184937,COMMUNITY BANK & TRUST
185037,CENTRAL PROGRESSIVE BANK
186650,JENNINGS STATE BANK
187358,THE FREEDOM STATE BANK
191663,COUNTY BANK
197357,ST. STEPHEN STATE BANK
199940,WESTERN SPRINGS NATIONAL BANK AND TRUST
201638,DOUGLAS COUNTY BANK
202550,EXCEL BANK
203753,"FIRST INTEGRITY BANK, N.A."
215130,THE NATIONAL REPUBLIC BANK OF CHICAGO
215756,NORTH HOUSTON BANK
216445,BADGER STATE BANK
219138,THE GORDON BANK
222053,BC NATIONAL BANKS
223238,THE JOHN WARNER BANK
230535,BANKEAST
236452,HEARTLAND BANK
236751,FIRST COMMUNITY BANK
239640,BANK OF SHOREWOOD
249256,DOUGLASS NATIONAL BANK
249555,FIRST STATE BANK OF ALTUS
252836,THE FIRST NATIONAL BANK OF FLORIDA
255136,FRONTIER BANK
259031,"CORUS BANK, N.A."
264941,BANK OF ELMWOOD
268734,BROADWAY BANK
270036,ORION BANK
270335,HABERSHAM BANK
293026,OMNI NATIONAL BANK
295552,"FRANKLIN BANK, SSB"
295637,CITIZENS NATIONAL BANK
296438,COASTAL COMMUNITY BANK
297378,"GREENCHOICE BANK, FSB"
314033,FIRST LOWNDES BANK
316738,GUARANTY NATIONAL BANK
321536,OCALA NATIONAL BANK
337733,THE BANK OF BONIFAY
341178,"BLUE RIDGE SAVINGS BANK, INC."
343341,INDEPENDENT BANKERS' BANK
344236,GULF STATE COMMUNITY BANK
353069,CITIZENS NATIONAL BANK
357375,K BANK
361457,FIRST NATIONAL BANK OF ANTHONY
367851,COMMUNITY NATIONAL BANK
368429,NBRS FINANCIAL BANK
370338,BANK OF LINCOLNWOOD
371353,MAINSTREET BANK
371915,RELIANCE BANK
391249,CORN BELT BANK AND TRUST COMPANY
392031,COMMUNITY NATIONAL BANK AT BARTOW
400253,HILLCREST BANK
402172,FIRST BANK OF BEVERLY HILLS
411464,FIRST NATIONAL BANK OF NEVADA
418342,BENCHMARK BANK
422750,THE COLUMBIAN BANK AND TRUST COMPANY
424343,DUPAGE NATIONAL BANK
440875,"BANK USA, NA"
442039,NATIONAL BANK OF COMMERCE
446336,DARBY BANK & TRUST COMPANY
449926,AMERICAN NATIONAL BANK
449953,SOLUTIONSBANK
450650,TRUST COMPANY BANK
452270,VENTURE BANK
454434,THE PEOPLES BANK
456456,THE FIRST NATIONAL BANK OF OLATHE
456474,CITY BANK
474825,WILLIAMSBURG FIRST NATIONAL BANK
476276,PUBLIC SAVINGS BANK
476810,"CITIBANK, NATIONAL ASSOCIATION"
480228,BANK OF AMERICA N.A.
486752,"CITIBANK (SOUTH DAKOTA), N.A."
486837,ENTERPRISE BANKING COMPANY
489735,UNITED SECURITY BANK
499239,FIRSTCITY BANK
506838,BANK OF HIAWASSEE
508878,HORIZON BANK
509231,NEXITY BANK
516378,SLAVIE FEDERAL SAVINGS BANK
518952,HOME NATIONAL BANK
519267,SANDERSON STATE BANK
522043,FARMERS' AND TRADERS' STATE BANK
533937,COVENANT BANK
535258,THE  BANK OF UNION
536479,LINCOLN PARK SAVINGS BANK
542537,THE ELIZABETH STATE BANK
547279,THE COWLITZ BANK
554745,FOUNDERS BANK
558257,BANK OF WYOMING
559777,R-G PREMIER BANK OF PUERTO RICO
564155,SUN SECURITY BANK
567231,CAPITALSOUTH BANK
569534,MCINTOSH STATE BANK
570231,COLONIAL BANK
574471,STATEWIDE BANK
587574,ARCOLA HOMESTEAD SAVINGS BANK
590855,COMMUNITY SOUTH BANK
605133,FIRST NATIONAL BANK OF CENTRAL FLORIDA
621432,HERITAGE COMMUNITY BANK
622831,SECURITY BANK OF JONES COUNTY
628730,FIRST SECURITY NATIONAL BANK
633837,HERITAGE BANKING GROUP
642370,COOPERATIVE BANK
644178,COLUMBIA RIVER BANK
644936,THE TATNALL BANK
650674,LIBERTYBANK
659257,FIRST NATIONAL BANK
664336,METRO BANK OF DADE COUNTY
666031,THE BANK OF MIAMI
666273,BRAMBLE SAVINGS BANK
669443,CITIZENS FIRST NATIONAL BANK
671576,DORAL BANK
686271,FIRST CHICAGO BANK & TRUST
691079,AMERICAN MARINE BANK
700337,THE FIRST NATIONAL BANK OF DANVILLE
708137,SECURITY BANK OF HOUSTON COUNTY
713038,BANK OF JACKSON COUNTY
720465,ALLIANCE BANK
730754,ACCESS BANK
732945,ROCK RIVER BANK
740258,BANK OF LEETON
740931,"SILVERTON BANK, NATIONAL ASSOCIATION"
744144,PEOTONE BANK AND TRUST COMPANY
747435,"REPUBLIC FEDERAL BANK, N.A."
749046,PEOPLES STATE BANK
749550,THE LA COSTE NATIONAL BANK
750864,CITIBANK (BANAMEX USA)
752970,WESTERNBANK PUERTO RICO
754433,MUTUAL BANK
759540,NORTH MILWAUKEE STATE BANK
761178,PROGRESS BANK OF FLORIDA
770433,HIGH TRUST BANK
785259,COMMUNITY BANKS OF COLORADO
791474,CF BANCORP
807665,"VINEYARD BANK, NATIONAL ASSOCIATION"
821120,BANK OF THE COMMONWEALTH
825977,WAUKEGAN SAVINGS BANK
836151,GLASGOW SAVINGS BANK
843270,COMMUNITY FIRST BANK
853158,ROSEMOUNT NATIONAL BANK
859945,PALOS BANK AND TRUST COMPANY
866279,BANK OF EPHRAIM
868376,BARNES BANKING COMPANY
875954,BANK OF CHOICE
880659,FIRST BANK OF KANSAS CITY
895831,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE
897433,THE COMMUNITY BANK
901956,HUME BANK
904425,BANK OF THE EASTERN SHORE
904957,COLORADO NATIONAL BANK
910042,BANK OF ILLINOIS
921833,VALLEY BANK
938840,"AMCORE BANK, NATIONAL ASSOCIATION"
942838,CHARTER NATIONAL BANK AND TRUST
942874,EVERGREEN BANK
949257,THE FIRST NATIONAL BANK OF DAVIS
967877,GEORGE WASHINGTON SAVINGS BANK
968436,MIDWEST BANK AND TRUST COMPANY
974343,INBANK
974866,FIRST REGIONAL BANK
976477,PACIFIC NATIONAL BANK
978051,"MARSHALL BANK, NATIONAL ASSOCIATION"
982731,MONTGOMERY BANK & TRUST
997333,FIRST NATIONAL BANK OF CRESTVIEW
998675,FIRST EAST SIDE SAVINGS BANK
1004265,PALM DESERT NATIONAL BANK
1006858,1ST AMERICAN STATE BANK OF MINNESOTA
1009831,THE FIRST NATIONAL BANK OF BARNESVILLE
1029325,SOUTHERN PACIFIC BANK
1158832,PACIFIC STATE BANK
1160152,THE PARK AVENUE BANK
1160732,SUN AMERICAN BANK
1164730,EUROBANK
1165531,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY
1187391,AFFINITY BANK
1191446,SONOMA VALLEY BANK
1213777,TRUMAN BANK
1216808,COMMUNITY BANK OF THE OZARKS
1218165,INDEPENDENT NATIONAL BANK
1219591,FIRST STATE BANK
1221558,SECURITY BANK OF BIBB COUNTY
1225800,MERRILL LYNCH BANK USA
1349890,IMPERIAL CAPITAL BANK
1356115,PUTNAM STATE BANK
1391170,CRESCENT BANK AND TRUST COMPANY
1402405,FIRST BANK OF JACKSONVILLE
1402629,FIRST COMMERCIAL BANK OF TAMPA BAY
1407530,FIRST CHEROKEE STATE BANK
1443266,BANK OF AMERICA CALIFORNIA N.A.
1450620,WASHINGTON FIRST INTERNATIONAL BANK
1463705,1ST CENTENNIAL BANK
1821976,BUTTE COMMUNITY BANK
1830035,FIA CARD SERVICES N.A.
1861347,PULASKI SAVINGS BANK
1890598,TAMALPAIS BANK
1916751,ADVANTA BANK CORP.
2019453,MADISONVILLE STATE BANK
2068134,GREAT BASIN BANK OF NEVADA
2085177,VALLEY BANK
2171100,FIDELITY BANK
2203355,ANB FINANCIAL NATIONAL ASSOCIATION
2243977,CAPITOL CITY BANK & TRUST COMPANY
2269847,CITIZENS BANK OF NORTHERN CALIFORNIA
2280552,APPALACHIAN COMMUNITY BANK
2290122,WESTSIDE COMMUNITY BANK
2302379,PREMIER BANK
2319676,COMMUNITY BANK OF NEVADA
2328249,GLOBAL COMMERCE BANK
2352507,BANKFIRST
2354314,FIRST NATIONAL BANK
2380470,PREMIER BANK
2391252,BEACH FIRST NATIONAL BANK
2397713,VALLEY COMMUNITY BANK
2435615,RAVENSWOOD BANK
2443535,COMMUNITY CENTRAL BANK
2453132,PIERCE COMMERCIAL BANK
2479310,SILVER STATE BANK
2481210,SOUTHWEST COMMUNITY BANK
2508126,FIRST GEORGIA COMMUNITY BANK
2519001,MICHIGAN HERITAGE BANK
2522681,TEMECULA VALLEY BANK
2534086,DECATUR FIRST BANK
2538842,FIRST BANKAMERICANO
2540537,SYRINGA BANK
2560526,CENTENNIAL BANK
2568120,THE BANK OF COMMERCE
2576198,COMMUNITY SECURITY BANK
2587998,CENTRAL ARIZONA BANK
2595461,COLORADO CAPITAL BANK
2607449,WACCAMAW BANK
2608790,"UNION BANK, NATIONAL ASSOCIATION"
2616076,RIVERSIDE BANK OF THE GULF COAST
2621306,CITIZENS BANK OF EFFINGHAM
2634735,CITIZENS BANK & TRUST COMPANY OF CHICAGO
2635077,THE BANK OF ASHEVILLE
2636083,PARAMOUNT BANK
2640594,THE BUCKHEAD COMMUNITY BANK
2643438,CALIFORNIA NATIONAL BANK
2646327,PATRIOT BANK MINNESOTA
2683555,UNITY NATIONAL BANK
2685504,WARREN BANK
2685764,FIRST STATE BANK
2686828,FIRST PIEDMONT BANK
2694430,CHESTATEE STATE BANK
2694935,NEW FRONTIER BANK
2704740,"FRONTIER BANK, FSB"
2706016,CAPE FEAR BANK
2713461,NEW CENTURY BANK
2713582,CANYON NATIONAL BANK
2714570,SUN WEST BANK
2716622,SUNRISE BANK OF ARIZONA
2722922,LAKESIDE COMMUNITY BANK
2727990,LEGACY BANK
2729604,NORTHERN STAR BANK
2737029,FIRST COMMERCIAL BANK OF FLORIDA
2738857,HORIZON BANK
2747420,MOUNTAIN NATIONAL BANK
2755733,FIRST DUPAGE BANK
2762638,PROSPERAN BANK
2767763,"MILLENNIUM BANK, NATIONAL ASSOCIATION"
2769383,BANK OF CLARK COUNTY
2783660,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA
2791003,WESTSOUND BANK
2796017,NORTH COUNTY BANK
2796295,STRATEGIC CAPITAL BANK
2796615,BANK OF FLORIDA - SOUTHWEST
2797171,BANK OF WAUSAU
2799803,HIGH DESERT STATE BANK
2802945,FIRST COMMERCIAL BANK
2803223,FIRST PEOPLES BANK
2804284,SATILLA COMMUNITY BANK
2806112,UNITED AMERICAS BANK
2809935,FLAGSHIP NATIONAL BANK
2830135,ALLEGIANCE BANK OF NORTH AMERICA
2837406,HERITAGE BANK OF FLORIDA
2846453,TOWN COMMUNITY BANK AND TRUST
2847900,SHORELINE BANK
2849212,LANDMARK BANK OF FLORIDA
2859574,FIRST NATIONAL BANK OF THE SOUTH
2866255,COPPER STAR BANK
2867056,BANK OF AMERICA OREGON N.A.
2869180,COUNTRY BANK
2869199,PREMIER BANK
2874634,TENNESSEE COMMERCE BANK
2876889,HAVEN TRUST BANK
2883047,COMMUNITY BANK OF LEMONT
2885171,THE BANK OF GEORGIA
2886187,BANKS OF WISCONSIN
2887661,BAY NATIONAL BANK
2896298,NEVADA COMMERCE BANK
2897754,FIRST CORNERSTONE BANK
2901688,SECURITY SAVINGS BANK
2902041,NEW LIBERTY BANK
2905565,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION"
2905604,NORTH GEORGIA BANK
2905613,SECURITY EXCHANGE BANK
2906311,NEIGHBORHOOD COMMUNITY BANK
2907046,SILVER FALLS BANK
2911986,HOMETOWN NATIONAL BANK
2912367,1ST PACIFIC BANK OF CALIFORNIA
2913346,AMERICA WEST BANK
2914905,THE COMMUNITY'S BANK
2916365,SOUTHERN COMMUNITY BANK
2922339,INTEGRITY BANK
2929253,SUNSHINE STATE COMMUNITY BANK
2960434,DESERT HILLS BANK
2975625,EARTHSTAR BANK
2998660,1ST REGENTS BANK
3008306,SUNFIRST BANK
3020193,FIRST CHOICE BANK
3023701,SOUTHWESTUSA BANK
3027174,ISN BANK
3030969,GEORGIAN BANK
3041349,SOUTHERN COLORADO NATIONAL BANK
3044500,PARKWAY BANK
3048067,PREMIER AMERICAN BANK
3051021,FIRST SOUTHERN NATIONAL BANK
3075278,ATLANTIC SOUTHERN BANK
3076190,THE ROYAL PALM BANK OF FLORIDA
3077629,NEVADA SECURITY BANK
3083741,FIRSTBANK FINANCIAL SERVICES
3102530,PINNACLE BANK
3115129,SECURITY BANK OF NORTH METRO
3116274,BANK OF FLORIDA - SOUTHEAST
3116809,CENTRAL FLORIDA STATE BANK
3119163,COMMUNITY BANK OF WEST GEORGIA
3119378,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION"
3123106,MCINTOSH COMMERCIAL BANK
3125016,MIRAE BANK
3128914,PIEDMONT COMMUNITY BANK
3130999,COMMUNITY CAPITAL BANK
3134885,SUMMIT BANK
3135097,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION"
3150474,SECURITY BANK OF NORTH FULTON
3150586,RIVERVIEW COMMUNITY BANK
3153626,FIRST COMMERCE COMMUNITY BANK
3158005,FREEDOM BANK OF GEORGIA
3172038,SECURITY BANK OF GWINNETT COUNTY
3179831,AMERICAN TRUST BANK
3194179,MILLENNIUM STATE BANK OF TEXAS
3195653,MARCO COMMUNITY BANK
3195895,FIRSTIER BANK
3201527,OLD HARBOR BANK
3201853,NEW CITY BANK
3208441,OGLETHORPE BANK
3219335,FIRST GEORGIA BANKING COMPANY
3220818,MOUNTAIN HERITAGE BANK
3223800,COMMUNITY BANK OF ARIZONA
3225411,FIRST PRIORITY BANK
3233407,CORTEZ COMMUNITY  BANK
3234598,PINEHURST BANK
3236396,NEW HORIZONS BANK
3250114,NORTHWEST BANK & TRUST
3257047,TOWNE BANK OF ARIZONA
3264782,SIGNATURE  BANK
3273823,BRICKWELL COMMUNITY BANK
3278547,HARVEST BANK OF MARYLAND
3279450,FIRST COWETA
3279469,INTEGRITY BANK
3287325,BANK OF FLORIDA - TAMPA BAY
3293746,HOMETOWN COMMUNITYBANK
3298769,TIFTON BANKING COMPANY
3299159,COMMUNITYSOUTH BANK AND TRUST
3302451,CITIZENS COMMUNITY BANK
3303476,LEGACY BANK
3304428,GOLD CANYON BANK
3306299,GEORGIA TRUST BANK
3307371,AMERICANFIRST BANK
3307410,WESTERN NATIONAL BANK
3311145,CHARTER OAK BANK
3311181,AMERICAN UNITED BANK
3311789,FIRST HERITAGE BANK N.A.
3322561,METROPACIFIC BANK
3338843,PACIFIC COAST NATIONAL BANK
3339925,EDGEBROOK BANK
3344611,BANK OF AMERICA RHODE ISLAND N.A.
3346286,AMERICAN SOUTHERN BANK
3348057,COMMUNITY FIRST BANK - CHICAGO
3350779,COMMUNITY BANK OF ROCKMART
3351598,FIRST VIETNAMESE AMERICAN BANK
3352577,FREEDOM BANK
3357899,EASTSIDE COMMERCIAL BANK
3358252,AZTECAMERICA BANK
3369940,FIRST SOUTHERN BANK
3373947,ALL AMERICAN BANK
3379426,SOUTHSHORE COMMUNITY BANK
3379819,COMMERCE BANK OF SOUTHWEST FLORIDA
3380066,WATERFORD VILLAGE BANK
3382547,DEPARTMENT STORES NATIONAL BANK
3382921,LIBERTYPOINTE BANK
3384840,WESTBRIDGE BANK AND TRUST COMPANY
3389434,USA BANK
3389582,CHIPOLA COMMUNITY BANK
3390702,VIRGINIA BUSINESS BANK
3392872,GULFSOUTH PRIVATE BANK
3402481,SUNRISE BANK
3402904,FIRST STATE BANK
3411018,WESTERN COMMERCIAL BANK
3414046,OLD SOUTHERN BANK
3426245,CENTURY SECURITY BANK
3437081,CARSON RIVER COMMUNITY BANK
3437139,THE BANK OF ELLIJAY
3441426,ROCKBRIDGE COMMERCIAL BANK
3441592,"BANKMERIDIAN, N.A."
3442704,ONE GEORGIA BANK
3442834,ALPHA BANK & TRUST
3448751,CONVENANT BANK & TRUST
3448836,HAVEN TRUST BANK FLORIDA
3449486,CHAMPION BANK
3451902,PATRIOT BANK OF GEORGIA
3459140,CREEKSIDE BANK
3465244,HILLCREST BANK FLORIDA
3465383,1ST COMMERCE BANK
3469448,PREMIER COMMUNITY BANK OF THE EMERALD COAST
3472167,"VALLEY CAPITAL BANK, N.A."
3547449,WHEATLAND BANK
3557617,FIRST CHOICE COMMUNITY BANK
3564286,VANTAGE POINT BANK
3640854,PISGAH COMMUNITY BANK
